,Unnamed: 0,Unnamed: 0.1, Job,Date,Jobstatus,Location,Text,Title,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment,Reviewclass,polarity,subjectivity,Review Length,Reviewclassif
1868,1868,20,Bookkeeper/Assistant,2012-07-18,Former Employee,"Warsaw,","this was my first adult job after getting out of collage i was responsible for more and more with time responsibilies: invoces, billing, leas agreements, due past payments, corrections ect",Firs adult job,0.5267,0.86,0.0,0.14,Positive,1.0,0.16785714285714287,0.4011904761904762,188,Positive
1867,1867,19,Car Sales Associate,2012-07-22,Former Employee,Plant City Fl,it was a very slow season and we always had very slow trafficand due to the company not meeting the sale goals they got bought out by a different dealership and everyone left the job!,about job,0.0,1.0,0.0,0.0,Neutral,0.0,-0.18100000000000002,0.403,183,Negative
1865,1865,17,Executive Assistant to President,2012-07-24,Former Employee,"New York, NY","my first job, i immediately was exposed to high level executives learned a great deal that i was then able to apply on to my other roles",Setting stone,0.5859,0.803,0.047,0.15,Positive,1.0,0.317,0.5246666666666666,136,Positive
1866,1866,18,Office Manager/ Cash Manager,2012-07-24,Current Employee,"New York, NY",wonderful experience all around had the opportunity to work with exceptional people,Great Experience,0.7579,0.606,0.0,0.394,Positive,1.0,0.8333333333333333,1.0,83,Positive
1864,1864,16,Assembly/Production/Welder,2012-07-25,Former Employee,"Detroit, MI",i was a spot welder and was called upon by management to help teach the welding to newbies,Good job with great benefits (at the time early 70's),0.4019,0.847,0.0,0.153,Positive,1.0,0.0,0.0,90,Positive
1863,1863,15,Sales and Leasing Consultant,2012-07-27,Former Employee,"clfton ,nj","sales consultant ,motivate customer s to make buying decisions ,educate customers about features ,benifits and advantages about the products ,customer service etc",we can make money,0.6249,0.788,0.0,0.212,Positive,1.0,0.0,0.0,162,Positive
1862,1862,14,Team Leader of Assemly,2012-07-27,Former Employee,"Twinsburg, OH",i would come into the plant and go to my area i would check to make sure we had enough stock to run the whole shifti then would make sure everyone was at their jobs i learned that i'm a great leader my management was great i enjoyed working with them i meet some really good people there was nothing really hard about my job i loved everything about my job it really taught me alot and also helped mold into who i am today,It was a wonderful company to work for.,0.9742,0.736,0.0,0.264,Positive,1.0,0.41893939393939394,0.6381313131313132,422,Positive
1859,1859,11,Powertrain Development Engineer,2012-08-02,Current Employee,MI,"good starting position in work fieldlearned ins and outs of calibration worldgood managers, easy to talk tohardest part is learning processes not in my realm of educationmost enjoyable is working with development vehicles",Good place to work and learn,0.8271,0.775,0.0,0.225,Positive,1.0,0.4083333333333333,0.5333333333333333,221,Negative
1861,1861,13,forklift operator,2012-08-02,Former Employee,"St. Louis, MO","chrysler-daimler was a great job,comfortable work enviroment and great co-workers","working in north plant i loaded/unlaoded trailers using scanners i reviewed inventory,picked,packed and delivered products to there rightful locations",0.8481,0.461,0.0,0.539,Positive,1.0,0.8,0.75,81,Negative
1860,1860,12,Inspector,2012-08-02,Former Employee,"Fenton, MO",the time i was there it was a job worth having but as the economy got worse they layed all of us off and sent the truck we were building to mexico,assembled dodge ram pickups,-0.5719,0.833,0.124,0.043,Positive,-1.0,-0.05000000000000002,0.35,146,Positive
1858,1858,10,"Painter, line assembler",2012-08-03,Former Employee,"St. Louis, MO",i loved working at chrysler that's why i stayed so long i hated when the plant had to close after being there years,"very productive, upbeat motivating place to work. very freindly environment.",-0.1477,0.682,0.17,0.148,Positive,-1.0,-0.08333333333333337,0.6333333333333334,115,Negative
1857,1857,9,Assembly Worker,2012-08-06,Former Employee,"Belvidere, IL","we arrived and started the day off with a meeting then, we'd report to our positions for the day i learned how to assemble car at a fast pace the management didn't respond to calls for assistance if they did it was on their own time, and not when they were needed i got along with all of my co-workers and we were able to produce vehicles at a fast rate the hardest part of the job was the pace it was fast and we had to do everything correctly i enjoyed seeing the finished product and knowing i built it",Review,0.5106,0.966,0.0,0.034,Positive,1.0,0.3666666666666667,0.6875,505,Positive
1856,1856,8,Assembly Line Worker,2012-08-07,Former Employee,"Fenton, MO",assemble of different jobs threw out the plantdoing multiple jobs for different bosses,Good company to work for and pays good.,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.39999999999999997,86,Positive
1855,1855,7,Production,2012-08-10,Former Employee,"Toledo, OH",clean the grounds stripping and waxing floors some painting taking out the garbage,Great place to work,0.4019,0.816,0.0,0.184,Positive,1.0,0.3666666666666667,0.7000000000000001,82,Neutral
1854,1854,6,Automated Assembly Line Technician,2012-08-13,Former Employee,"Belvidere, IL", years with this company good place to work and the money was awesome,moneys good,0.7906,0.611,0.0,0.389,Positive,1.0,0.85,0.8,69,Positive
1853,1853,5,laboror/ assembly/ machine operator/ inspector,2012-08-14,Former Employee,"Belvidere, IL, Perrysburg, OH","i worked with various types of people through the length of my employment i had many types of jobs, and enjoyed them all enjoyed having the reputation of being the one they would call upon to ""do the job"", this gave me a great sense of self worth i had the opportunity to prove myself, on a daily basis, and enjoyed the recognition i learned a great deal, through the length of my employment, and enjoyed the challenges",I enjoyed this job very much.,0.9786,0.694,0.0,0.306,Positive,1.0,0.43999999999999995,0.54,419,Negative
1852,1852,4,DESIGNER Chrysler MI,2012-08-16,Current Employee,Auburn Hills,nice people for the most part but some things are hard to change,Run standard,0.0772,0.759,0.11,0.131,Positive,1.0,0.26944444444444443,0.6805555555555555,64,Positive
1851,1851,3,Production Team Member/CNC Operator,2012-08-17,Former Employee,"Detroit, MI",working with your customer and providing the days goal or daily build i learned that communication is a key component to anything different management styles get different results when communication breaks down producing a quality pinon or ring gear for the customer,Family atmosphere in your departments.,0.0,1.0,0.0,0.0,Neutral,0.0,-0.031111111111111117,0.49777777777777776,266,Positive
1850,1850,2,Quality Control Engineer,2012-08-19,Former Employee,"Maumee, OH and Detroit, MI",see review summary great companuy to work for but hard to get reinstated after refusing a callback when laid-off,"Work over laod , productivity sometimes not apreciated, too much infighting of bosses during launch of new podel,good and mature organization",-0.3818,0.661,0.227,0.112,Positive,-1.0,0.25416666666666665,0.6458333333333333,112,Negative
1849,1849,1,Advanced Manufacturing Engineer,2012-08-20,Former Employee,"Auburn Hills, MI","the company fulfilled all the administrative duties, and overall were good to work for",Hirotech is a contract house for technical staffing,0.6908,0.678,0.0,0.322,Positive,1.0,0.35,0.30000000000000004,86,Positive
1846,1846,19,Warehouse Associate,2012-08-21,Former Employee,"Lathrop, CA","loved the job but didn't like some of the people it was a union job so even the people that didn't like to do any work and make it harder on everyone else was protected but other than that, the pay and benefits were great!!!!",It Was An Easy Job With Great Pay,0.713,0.681,0.124,0.195,Positive,1.0,0.36875,0.48125,225,Positive
1847,1847,20,Labor Relations Generalist,2012-08-21,Current Employee,"Belvidere, IL","fast paced, high volume work enviornment a lot of opportunties for improvement and growth company in transition looking for new ideas and thoughts",Chrylser Human Resources,0.6808,0.781,0.0,0.219,Positive,1.0,0.16545454545454544,0.5315151515151515,146,Positive
1845,1845,18,Human Resources Specialist,2012-08-22,Former Employee,"Rockford, IL",i like the work environment the union was very strong and positive,awesome union,0.8737,0.446,0.0,0.554,Positive,1.0,0.3953030303030303,0.7493939393939393,66,Positive
1844,1844,17,Business and Finance Manager,2012-08-24,Current Employee,"Oxford, MS","great family owned business in operation since provides new chrysler, dodge, jeep and ram vehicles great pre-owned vehicles to oxford and the surrounding areas","New Car Dealership - Chrysler, Dodge, Jeep, RAM Trucks",0.8481,0.728,0.0,0.272,Positive,1.0,0.5787878787878787,0.6515151515151515,159,Negative
1843,1843,16,Parent Club Treasurer/Parent Volunteer,2012-08-27,Current Employee,"Modesto, CA","the staff, students and parents are a great group to work with and for i have learned to work for the common goal of the school rather than my own goals the hardest part is finding the monies the school needs from the parents club",Great place to be involved with,0.6249,0.911,0.0,0.089,Positive,1.0,0.3666666666666667,0.75,230,Positive
1842,1842,15,"Machinist, Forklift Operator, Assembler",2012-09-04,Former Employee,"East Syracuse, NY",got along with all co-workers was always busy most enjoyable was the co-workers and how we all worked as a team,productive and busy,0.4927,0.856,0.0,0.144,Positive,1.0,0.3666666666666667,0.4666666666666666,111,Positive
1841,1841,14,Engine Assembly,2012-09-05,Former Employee,"Kenosha, WI","it was typical hr plus dayi learned chrysler is a exciting place to work atmy co-workers were very friendly,kind people to work with their was no hard part for me working at chrysleri was use to working in a factory so it was easy for mei trullu miss working there",Great place to work,0.4877,0.788,0.095,0.117,Positive,1.0,0.18250000000000002,0.595,264,Positive
1840,1840,13,Team Leader/Production Worker,2012-09-10,Former Employee,"Warren, MI",there is much to say with my time here i was involved in many active things at wtap i miss the people and the money,I miss this place it was second family,0.2732,0.83,0.063,0.107,Positive,1.0,0.18888888888888888,0.4333333333333333,115,Negative
